
		Plnt	SLoc	Description	Matl Group	Material	MTyp	Material description	BUn	      Unrestricted	Value Unrestricted	Quality Inspection	Value in QualInsp.	           Blocked	Value BlockedStock	   Transit/Transf.	Val. in Trans./Tfr	           Returns	Value Rets Blocked	    Restricted-Use	  Value Restricted

		2000	1100	FO GMA	43222628	201215	ZBCG	MODEM HUAWEI HG850A GPON	PC	                1	         4,268.39	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1100	FO GMA	43222609	201895	ZBCG	Huawei HG8245H - GPON	PC	               13	        49,774.06	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1100	FO GMA	43222628	202160	ZBCG	MODEM GPON Fiberhome AN5506-04FS	PC	                1	         3,524.32	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1100	FO GMA	S331	202261	ZBCG	MODEM GPON Huawei HG8145V	PC	                5	        20,380.08	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1100	FO GMA	S331	202290	ZBCG	MODEM GPON Fiberhome AN5506-04FA	PC	               14	        51,929.57	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1100	FO GMA	S331	202426	ZBCG	GPON HT HG8145V5 Modem	PC	                2	         7,047.82	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1102	FO SOUTH LUZON	26110000	812107	ZOSI	RECTIFIER HE30KW exp to 60kW	SET	                2	       872,157.85	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1104	FO ORMOC	26121633	803450	ZOSI	300 PAIRS FSF COPPER TEL. CABLE - 0.4 MM	M	              117	        51,447.37	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	43222609	202030	ZBCG	ROUTER Airties Air4920	PC	               34	        84,884.89	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S213	202206	ZBCG	Huawei B315s-938 LTE Modem	PC	                1	         2,708.81	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S213	202212	ZBCG	Huawei B525s-65a2 CA LTE Modem	PC	                4	        19,430.83	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S207	202265	ZBCG	TPLink DECO M5	PC	                2	         3,989.47	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S331	202290	ZBCG	MODEM GPON Fiberhome AN5506-04FA	PC	                1	         3,709.25	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S331	202426	ZBCG	GPON HT HG8145V5 Modem	PC	               10	        35,239.10	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	43222628	202451	ZBCG	V35B TW VD1200 VDSL Modem	UNT	               10	        29,478.60	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	43222628	202452	ZBCG	V35B ZT ZHXN H288A VDSL Modem	UNT	               11	        33,664.35	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S331	202551	ZBCG	GPON FH HG6245D Modem	PC	               10	        34,800.15	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S422	403041	ZFNG	TCL HA868(60)T Basic Telset	PC	               10	         2,900.92	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S207	505919	ZNVL	NVL_MODEM ADSL ZTE	PC	                2	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1108	QA LUZON	S207	506579	ZNVL	NVL_DN8245W VDSL35B HUAWEI MODEM	PC	                4	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43222600	201485	ZBCG	ECI OTGBE LX SFP# module# X72650	PC	               26	       136,379.80	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	43222600	201796	ZBCG	MCP30B-X37710_MODULE	PC	                7	       118,763.79	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121609	202226	ZBCG	CABLE Patchcord  SC-SC-SM (3MM) SX 10M	PC	                4	           310.63	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	26121609	202329	ZBCG	Trunk Cable 10m 120ohm 1E1 0.4mm	PC	                7	         3,304.72	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	39121006	800165	ZOSI	DIGITAL TRANSFER SWITCH (DTS)	PC	                1	        17,000.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
		2000	1900	2K_G_Wrls_LCN_SP	46171604	800463	ZOSI	ALARM-INDOOR CONTROL PANEL	PC	                8	       157,402.66	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00	                0	             0.00
